,Username,Level,Best MMR Rating,Ranking,Avg Seasonal MMR,Wins,Win_p,Kills,KD,Deaths,Headshots,Losses,Time Played,Matches Played,Melee Kills,Blind Kills,Time Played_casual,Losses_casual,Matches_casual,Deaths_casual,Kills_casual,Win_p_casual,KD_casual,Kills/min_casual,Time Played_ranked,Wins_ranked,Losses_ranked,Matches_ranked,Deaths_ranked,Kills_ranked,Win_p_ranked,KD_ranked,Kills/match_ranked,Kills/min_ranked,Smurf
10,pengu.g2,0.01282051282,0,0,0.5886532697,0.6714711329,0.776957164,0.6230441407,0.04347007904,0.3563013718,0.6382150279,0.1894278766,0.3903248341,0.5112605568,0.04938271605,0.4647058824,0.5041322314,0.2975398936,0.7175771089,0.3943287113,0.958402132,0.846,0.07459459459,0.1326259947,0.1775972142,0.3230305735,0.06354427049,0.2148308318,0.1566453385,0.2974534783,85.7,2.14,6.78,0.42,0
11,Ayu.101,0.6941391941,0.3028755412,0.5454545455,0.2885533474,0.1455833803,0.2968980798,0.1347484147,0.01881821603,0.1686063904,0.1018046593,0.2120824267,0.163290255,0.1799603795,0.02681208816,0.1647058824,0.2433425161,0.3434175532,0.2730087947,0.2115068673,0.2127111034,0.531,0.03081081081,0.06100795756,0.07622364094,0.0695157331,0.07683199579,0.07676163826,0.07546673679,0.07222720012,51.6,1.08,4.62,0.24,0
12,Roy.the.noob,0.6758241758,0.3137559676,0.6818181818,0.302542467,0.1226346727,0.2732644018,0.1014782179,0.01467820851,0.1576803088,0.09795471946,0.1913477537,0.1454767726,0.1566572829,0.009543285617,0.09411764706,0.217630854,0.3095079787,0.2380775424,0.201583755,0.1545146433,0.516,0.02351351351,0.05039787798,0.06384213581,0.0550100424,0.06604394159,0.06327906385,0.0660589593,0.05361850221,49.5,0.92,4.16,0.21,0
13,taku-._,0.8736263736,0.37470856,0.8181818182,0.3487287665,0.1558901683,0.3382570162,0.169542123,0.01957094467,0.2047465064,0.1247730504,0.2028670165,0.184421935,0.1828797831,0.04551995759,0.1705882353,0.1308539945,0.1542553191,0.1377430943,0.1283761582,0.1267054836,0.583,0.03027027027,0.06896551724,0.1460630683,0.1397009596,0.1431390606,0.1488170949,0.1485815292,0.1531289363,53.5,1.16,5.04,0.26,0
14,BUST.balls,0.04578754579,0,0,0,0.01570174732,0.2186115214,0.01004694062,0.01298456906,0.01830510406,0.008596740676,0.03071803405,0.01886133426,0.02199979147,0.001439066879,0.01176470588,0.04866850321,0.07613031915,0.05388331475,0.04064533088,0.02957619999,0.474,0.02216216216,0.0424403183,0.001354227123,0.0008926578889,0.001447178003,0.001208343933,0.001387793263,0.0004285324711,42.1,0.48,2.42,0.1,1
15,AOne98,0.2967032967,0.3317419785,0.7272727273,0.3085378039,0.2059747162,0.2422451994,0.1858889895,0.01260820474,0.3319278052,0.1583069015,0.3478817356,0.2790778903,0.2743718069,0.02431265621,0.2294117647,0.2479338843,0.3670212766,0.2515793385,0.2594138135,0.1561078764,0.456,0.01837837838,0.0450928382,0.2042948346,0.1827717027,0.2098408104,0.2056092597,0.2239167908,0.1638552339,50.7,0.82,3.91,0.2,0
16,Zhadik0325,0.02197802198,0.4064616409,0.8181818182,0.4064616409,0.001368870279,0.7045790251,0.003129374949,0.1025592774,0.0003276399949,0.006781144045,0.001151926277,0.0005239259518,0.0006777186946,7.57E-05,0,0.002754820937,0.002992021277,0.004211569429,0.002267201157,0.007850294024,0.735,0.1045945946,0.1962864721,0.0001934610176,0.001227404597,0,0.0006995675401,1.46E-05,0.001441427403,100,124,11.27,1.42,1
17,combo_very_hard,0.05128205128,0.4081270123,0.8181818182,0.4081270123,0.01900314035,0.6307237814,0.01528658486,0.03782461423,0.009914671149,0.009777972219,0.01087930372,0.01798812435,0.01605671984,0.0007574036204,0.01764705882,0.04866850321,0.02825797872,0.0408769974,0.02434776894,0.04316213319,0.742,0.05432432432,0.06100795756,0.0001934610176,0.001115822361,0,0.000635970491,0,0.0009479657693,100,86,8.6,1.05,1
18,SmokeElite.v2,0.04761904762,0,0,0,0.01417183348,1,0.02811290455,1,7.12E-05,0.04919610631,0,0.0008732099197,0.008497549786,0.001742028327,0,0,0,0.0004954787563,9.86E-05,0.002201558472,1,0.5135135135,1,0.001934610176,0.0213122071,0,0.01214703638,0.0007158091565,0.0354902801,100,56.04,14.38,4.67,1
19,Serenity17__TSM,0.6978021978,0,0,0,0.00845478702,0.8212703102,0.007627851437,0.05607828378,0.003148192994,0.008027999563,0.002175860745,0.003842123647,0.005682410593,0.001363326517,0,0.003673094582,0.004321808511,0.00545026632,0.003778668594,0.005185249558,0.705,0.04162162162,0.09549071618,0.0001934610176,0.0004463289444,0,0.0002543881964,1.46E-05,0.0003376316439,100,39,9.75,0.86,1
